Description Size Speed Range Firepower Cargo
ADFX10 40 30 20 2 24
ArsenalBird 2 29 29 9 3
AVHarrier 3 25 18 3 9
Berkut 4 18 11 10 10
BlackWidow 5 7 30 24 2
Eagle 6 10 33 6 21
Falken 7 9 34 11 23
FightingFalcon 8 14 39 4 22
Fishbed 9 6 17 21 6
Foxhound 10 12 15 23 4
Fulcrum 11 16 14 17 17
Globemaster 12 17 5 7 29
GripenE 13 19 10 22 30
Kawasaki 14 11 9 14 11
Lancer 15 20 23 34 14
M2Flanker 16 13 27 8 18
Mirage2000 17 21 8 13 12
Morgan 18 27 36 32 33
Nighthawk 19 28 19 12 13
Phantom 20 15 12 35 8
RafaleM 21 8 24 15 16
Raptor 22 23 4 5 19
Raven 23 24 26 40 37
Searcher 24 2 38 19 20
Spirit 25 4 31 7 5
Spooky 26 26 16 18 25
Starfighter 27 34 21 20 39 
Terminator 28 36 7 27 31
Thunderbolt 29 4 13 31 41
Wyvern 30 37 32 28 34
ADFX10 40 30 20 2 24
ArsenalBird 2 29 29 9 3
AVHarrier 3 25 18 3 9
Berkut 4 18 11 10 10
BlackWidow 5 7 30 24 2
Eagle 6 10 33 6 21
Falken 7 9 34 11 23
FightingFalcon 8 14 39 4 22
Fishbed 9 6 17 21 6
Foxhound 10 12 15 23 4
